Local,Dirección,Departamento,Dirección corrregida,Latitud,Longitud,Estado
Farmashop N°89,Carlos M Ramirez 802 ,Montevideo ,"802 Avenida Carlos María Ramírez, Uruguay",-34.864986,-56.234979,success
Farmashop N°9,Av. Suárez 3458,Montevideo ,"3458 Avenida Joaquin Suarez, Uruguay",-34.864319,-56.195917,success
Farmashop N°90,Luis A. de Herrera 3365 ,Montevideo ,"3365 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.868811,-56.168912,success
Farmashop N°94,Calle 11 ,Canelones,"Calle 11, Uruguay",-34.7844,-55.855853,success
Farmashop N°98,"La Paz, Batlle y Ordoñez Nº181 ",Canelones,"181 Jose Batlle Y Ordoñez, Uruguay",-34.76298,-56.224591,success
Pigalle - Sucursal Domar,Manuel V Pagola 3295,Montevideo ,"3295 Manuel V Pagola, Uruguay",-34.909224,-56.145068,success
Pigalle - Sucursal Hermes,Bulevar Espana 2508,Montevideo ,"2508 Bulevar España, Uruguay",-34.91219,-56.160098,success
Pigalle - Sucursal Lyon,Avenida 18 de Julio 2102,Montevideo ,"2102 Avenida 18 de Julio, Uruguay",-34.899592,-56.169636,success
Pigalle - Sucursal Mayo,Andes 1397,Montevideo ,"1397 Andes, Uruguay",-34.905578,-56.198298,success
Pigalle 2,Avenida Brasil 2570,Montevideo ,"2570 Avenida Brasil, Uruguay",-34.907712,-56.158329,success
Pigalle 3,Juan Benito Blanco 994,Montevideo ,"994 Juan Benito Blanco, Uruguay",-34.913369,-56.148507,success
Pigalle 4,21 de Setiembre 2948,Montevideo ,"2948 21 De Setiembre, Uruguay",-34.919611,-56.153415,success
Farmacia Potosi,8 de octubre 3855,Montevideo ,"3855 Avenida 8 de Octubre, Uruguay",-34.873869,-56.138805,success
Sanatorio Villa Carmen,Avenida General Garibaldi 2680,Montevideo ,"2680 Avenida General Jose Garibaldi, Uruguay",-34.888545,-56.161359,success
VETERINARIA 21,21 de Setiembre 2460,Montevideo ,"2460 21 De Setiembre, Uruguay",-34.913568,-56.162182,success
VETERINARIA AMI,Avenida Agraciada 3077,Montevideo ,"3077 Avenida Agraciada, Uruguay",-34.874925,-56.200252,success
VETERINARIA ANDREA DE BONI,Carlos Quijano 1173,Montevideo ,"1173 Carlos Quijano, Uruguay",-34.909076,-56.188869,success
VETERINARIA BOSTON,Avenida Bolivia 1402,Montevideo ,"1402 Avenida Bolivia, Uruguay",-34.8932,-56.065578,success
VETERINARIA CAN Y GATOS,Avenida Centenario,Montevideo ,"Avenida Centenario, Uruguay",-34.89124,-56.155186,success
VETERINARIA Casa de Mascotas Las Garzas,Goes 2403,Montevideo ,"2403 Goes, Uruguay",-34.892801,-56.166302,success
VETERINARIA CENTENARIO,Liber Arce,Montevideo ,"Líber Arce, Uruguay",-34.899229,-56.145581,success
VETERINARIA CENTRO VETERINARIO MONTEVIDEO,Avenida General Rivera 2073,Montevideo ,"2071,2073,2075,2079 Avenida General Rivera, Uruguay",-34.902178,-56.171089,success
VETERINARIA CIUDAD AVENTURA,Avenida Jose Pedro Varela 3237,Montevideo ,"3237 Avenida Jose Pedro Varela, Uruguay",-34.868052,-56.163574,success
